smiles	kegg_id	formal_charge
O=P([O-])(O)O	['C00009']	-1
[I-]	['C00708']	-1
CCCCCCCCCC(=O)[O-]	['C01571']	-1
CCOP(=O)([O-])OCC	['C06608']	-1
[Cl-]	['C00698']	-1
CC(=O)[O-]	['C00033']	-1
NCCCC[C@H](N)C(=O)[O-]	['C00047']	-1
CS(=O)(=O)[O-]	['C11145', 'C12560']	-1
O=[N+]([O-])[O-]	['C00244']	-1
NCCCC[C@@H](N)C(=O)[O-]	['C00739']	-1
CCCCCCCC(=O)[O-]	['C06423']	-1
CCC(=O)[O-]	['C00163']	-1
Cc1ccc(S(=O)(=O)[O-])cc1	['C06677']	-1
N[C@@H](CCCCNO)C(=O)[O-]	['C01028']	-1
CCCC(=O)[O-]	['C00246']	-1
NCCC[C@@H](N)C(=O)[O-]	['C00515']	-1
NCCC[C@H](N)C(=O)[O-]	['C00077']	-1
C[C@H](N)CC[C@@H](N)C(=O)[O-]	['C05161']	-1
CC(C)C(=O)[O-]	['C02632']	-1
C=CC(=O)[O-]	['C00511']	-1
O=P([O-])([O-])CO	['C06455']	-2
O=N[O-]	['C00088']	-1
O=C([O-])C1CC1	['C16267']	-1
CCCCCCCCCCCC(=O)[O-]	['C02679']	-1
O=C([O-])CF	['C06108']	-1
NC[C@H](O)CC[C@H](N)C(=O)[O-]	['C16741', 'C16741']	-1
C#CC(=O)[O-]	['C00804']	-1
O=C[O-]	['C00058']	-1
CCC(C)C(=O)[O-]	['C18319']	-1
O=C([O-])C1CCCCC1	['C09822']	-1
NCCC[C@H](N)CC(=O)[O-]	['C01142']	-1
C[C@H](N)C[C@@H](N)C(=O)[O-]	['C03943']	-1
CC(=O)C(=O)[O-]	['C00022']	-1
O=P([O-])([O-])O	['C00009']	-2
CC(C)CC(=O)[O-]	['C08262']	-1
N=CC(=O)[O-]	['C15809']	-1
NCC[C@H](N)C(=O)[O-]	['C03283']	-1
C[C@@H](O)CC(=O)[O-]	['C01089', 'C01089']	-1
O=P([O-])([O-])CCO	['C06451', 'C06451']	-2
O=C([O-])[O-]	['C00288', 'C01353']	-2
CCCC(CCC)C(=O)[O-]	['C07185']	-1
CCC(=O)C(=O)[O-]	['C00109']	-1
C#CCC(=O)[O-]	['C06144']	-1
CC(=O)CC(=O)[O-]	['C00164']	-1
C=C(CC(=O)[O-])C(C)C	['C11950']	-1
