smiles	kegg_id	formal_charge
[K+]	['C00238']	1
[Mg+2]	['C00305', 'C12505']	2
[Co+2]	['C00175']	2
C[N+](C)(C)CC(=O)O	['C00719']	1
C[N+](C)(C)CCO	['C00114']	1
[Zn+2]	['C00038']	2
[Na+]	['C01330', 'C12284', 'C15450', 'C15551']	1
CC[N+](CC)(CC)CC	['C07512']	1
[Fe+2]	['C14818']	2
C[N+](C)(C)C/C=C/C(=O)O	['C04114']	1
[Ca+2]	['C00076']	2
C[N+](C)(C)CCCC(=O)O	['C01181']	1
CC(=O)OCC[N+](C)(C)C	['C01996']	1
C[NH2+]C	['C00543']	1
C[NH+](C)CC(=O)O	['C01026']	1
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C	['C11733']	2
C[NH2+]CC(=O)O	['C00213']	1
[NH3+]C1CCCCC1	['C00571']	1
C[NH2+]CCCC(=O)O	['C15987']	1
CCC[C@H]1CCCC[NH2+]1	['C06523']	1
C[S+](C)CCC(=O)O	['C04022']	1
C[N+]1=CCCC1	['C06178']	1
C[NH3+]	['C00218']	1
C1CC[NH2+]CC1	['C01746']	1
Cn1c[nH+]c(CC[NH3+])c1	['C05127']	2
[NH3+]c1cnc[nH]1	['C05239']	1
C1=CC[C@@H](c2cccnc2)[NH2+]C1	['C10126']	1
C[NH+]1CCC[C@@H]1c1cccnc1	['C16386']	1
C[NH+]1CCC[C@H]1c1cccnc1	['C00745']	1
c1cncc(C2CCC[NH2+]2)c1	['C06524']	1
O=C(O)[C@H]1CCC[NH2+]1	['C00763']	1
O=C(O)[C@@H]1CCC[NH2+]1	['C00148']	1
CNCCCC[NH3+]	['C02723']	1
[NH3+]CCc1ccccc1	['C05332']	1
Cc1cccc(C)c1[NH3+]	['C11004']	1
[NH3+]c1ccccc1	['C00292']	1
[NH3+]CC(=O)O	['C00037']	1
C=C([NH3+])C(=O)O	['C02218']	1
[NH3+]c1c[nH+]c[n-]1	['C05239']	1
C[N+](C)(C)CCCC[C@H]([NH3+])C(=O)O	['C03793']	2
C[C@@H]([NH3+])C(=O)O	['C00133']	1
CC([NH3+])C(=O)O	['C01401']	1
C[C@H]([NH3+])C(=O)O	['C00041']	1
CC[C@H]([NH3+])C(=O)O	['C02356']	1
C[NH2+]CCCC[NH3+]	['C02723']	2
C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O	['C07473']	1
[NH3+]CCC(=O)O	['C00099']	1
C[NH+](C)CCCOC(=O)c1ccccc1	['C14168']	1
[NH3+]CCO	['C00189']	1
CC(C)[C@H]([NH3+])C(=O)O	['C00183']	1
CC(C)C[C@H]([NH3+])C(=O)O	['C00123']	1
Cn1c[nH+]c(CCN)c1	['C05127']	1
[NH3+]C1(C(=O)O)CC1	['C01234']	1
[NH3+]CCCC(=O)O	['C00334']	1
C[C@@H](O)C[NH3+]	['C03194']	1
[NH3+]CCCCC(=O)O	['C00431']	1
C[C@@H](C[NH3+])C(=O)O	['C03284']	1
C[C@H](C[NH3+])C(=O)O	['C01205']	1
[NH3+]CCc1c[n-]c[nH+]1	['C00388']	1
C[N+](C)(C)CCCC[C@H](N)C(=O)O	['C03793']	1
CC[C@H](C)[C@H]([NH3+])C(=O)O	['C00407']	1
Cn1cnc(CC[NH3+])c1	['C05127']	1
[NH3+]CCCCCC(=O)O	['C02378']	1
C[NH2+]CCCCN	['C02723']	1
[NH3+]CCc1c[nH]cn1	['C00388']	1
c1cncc(C2CCCC[NH2+]2)c1	['C06180']	1
C[NH+](C)N=O	['C14704']	1
O=C(O)[C@@H]1CCCC[NH2+]1	['C00408']	1
[NH3+]CC(F)C(=O)O	['C16632']	1
c1c[nH+]cc(C2CCCN2)c1	['C06524']	1
C1=CC[C@@H](c2ccc[nH+]c2)NC1	['C10126']	1
C/C=C/[C@H]1CCC[C@@H](C)[NH2+]1	['C10165']	1
C[NH+]1CC=C(c2ccccc2)CC1	['C04599']	1
C[N+](C)(C)CCCC[C@H]([NH3+])C(=O)[O-]	['C03793']	1
N#C[NH3+]	['C01566']	1
C[n+]1ccc(-c2cc[n+](C)cc2)cc1	['C14701']	2
C#CC[NH2+][C@H](C)Cc1ccccc1	['C15476']	1
C1=CC[C@@H](c2ccc[nH+]c2)[NH2+]C1	['C10126']	2
[NH3+]CCCCC[NH3+]	['C01672']	2
C[NH2+]c1ccccc1C(=O)O	['C03005']	1
Cc1[n-]c[nH+]c1CC[NH3+]	['C17929']	1
CC(C[NH2+]C1CCCCC1)OC(=O)c1ccccc1	['C14172']	1
c1c[nH+]cc(C2CCC[NH2+]2)c1	['C06524']	2
C[NH2+]CCc1ccc(O)cc1	['C02442']	1
Cc1[nH]cnc1CC[NH3+]	['C17929']	1
[NH3+]CCC[NH3+]	['C00986']	2
[NH3+]CCCC[NH3+]	['C00134']	2
C[n+]1cccc(C(=O)O)c1	['C01004']	1
Cc1ncc(CO)c([NH3+])n1	['C01279']	1
N=[N+]=O	['C00887']	1
C[NH2+][C@@H](C)[C@@H](O)c1ccccc1	['C02765']	1
C[NH2+][C@@H](C)[C@H](O)c1ccccc1	['C01575']	1
CN1CCC[C@@H]1c1ccc[nH+]c1	['C16386']	1
CN1CCC[C@H]1c1ccc[nH+]c1	['C00745']	1
c1ccc(C2([NH+]3CCCCC3)CCCCC2)cc1	['C07575']	1
c1[n-]cc(CC2CC[NH2+]CC2)[nH+]1	['C17932']	1
C[NH+]1CCC[C@@H]1c1ccc(O)nc1	['C03043']	1
C[NH+]1CCC[C@H]1c1ccc(O)nc1	['C01056']	1
NCCCCC[NH3+]	['C01672']	1
C[NH+](C)CCc1ccc(O)cc1	['C06199']	1
C[n+]1ccc(-c2ccccc2)cc1	['C11310']	1
NCCCC[NH3+]	['C00134']	1
C[NH+]1CCC[C@@H]1c1ccc[nH+]c1	['C16386']	2
C[NH+]1CCC[C@H]1c1ccc[nH+]c1	['C00745']	2
c1nc(CC2CC[NH2+]CC2)c[nH]1	['C17932']	1
C[C@@H]1C[NH+](C)C[C@@H]2[C@@H]1CC[C@@H]2C	['C09987']	1
NCCC[NH3+]	['C00986']	1
c1c[nH+]cc(C2CCCCN2)c1	['C06180']	1
N#CCC[NH3+]	['C05670']	1
[NH3+][C@H](Cc1ccccc1)C(=O)O	['C02265']	1
[NH3+][C@@H](Cc1ccccc1)C(=O)O	['C00079']	1
N#CC[C@H]([NH3+])C(=O)O	['C02512']	1
CC([NH3+])C#N	['C05714']	1
[NH3+]c1ccccc1C(=O)O	['C00108']	1
[NH3+]c1ccc(C(=O)O)cc1	['C00568']	1
[NH3+][C@@H](CCc1ccccc1)C(=O)O	['C17235']	1
CN(C)CC[NH+](Cc1ccccc1)c1ccccc1	['C14410']	1
c1c[nH+]cc(C2CCCC[NH2+]2)c1	['C06180']	2
N#CC([NH3+])CCC(=O)O	['C05715']	1
C=CCS[S+](O)CC=C	['C07600']	1
Cn1cncc1C[C@H]([NH3+])C(=O)O	['C01152']	1
CC1CC(OC(=O)c2ccccc2)CC(C)(C)[NH2+]1	['C14167']	1
C[NH+](C)CCN(Cc1ccccc1)c1ccccc1	['C14410']	1
Cc1c[nH+]cc2c1CC[C@@H]2C	['C09910']	1
[NH3+]c1ccc(O)cc1	['C02372']	1
[NH3+]c1cc[n-]c(=O)[nH+]1	['C00380']	1
[NH3+]c1cc[nH]c(=O)n1	['C00380']	1
[NH3+]CCc1ccc(O)cc1	['C00483']	1
C[C@H]([NH3+])[C@@H](O)c1ccccc1	['C08300']	1
C[C@H]([NH3+])[C@H](O)c1ccccc1	['C16719']	1
Oc1cc2c(cc1O)[NH2+]CC2	['C17756']	1
Cc1cccc(C(=O)O)c1[NH3+]	['C16571']	1
O=N[NH+]1CCCC1c1cccnc1	['C16452']	1
CC1CCCC[NH+]1CCCOC(=O)c1ccccc1	['C14173']	1
C[C@H]1CC[C@H]2[C@H](C)CC[C@@H](c3ccoc3)[NH+]2C1	['C09945']	1
COc1cccc(C(=O)O)c1[NH3+]	['C05831']	1
O=NN1CCCC1c1ccc[nH+]c1	['C16452']	1
OC[C@@H]1CC[NH+]2CCC[C@@H]12	['C12440']	1
[NH3+]c1cc(O)ccc1O	['C14604']	1
[NH3+]c1ccccc1O	['C01987']	1
[NH3+]C[C@H]([NH3+])C(=O)O	['C03401']	2
[NH2+]=CNCC(=O)O	['C02718']	1
C[N+](C)(C)CC(O)CC(=O)O	['C00487']	1
C[N+](C)(C)C[C@H](O)CC(=O)O	['C00318']	1
COC(=O)c1ccc([NH3+])cc1O	['C14170']	1
[NH3+]CCCCNCCC[NH3+]	['C00315']	2
NC[C@H]([NH3+])C(=O)O	['C03401']	1
[NH3+]c1ccc(O)c(O)c1	['C18351']	1
[NH3+]CCCNCCC[NH3+]	['C03375']	2
[NH3+]CCCCCNCCC[NH3+]	['C16565']	2
COC(=O)c1ccc(O)c([NH3+])c1	['C14171']	1
Cc1c[n-]c(=O)[nH+]c1[NH3+]	['C02376']	1
Cc1c[nH]c(=O)nc1[NH3+]	['C02376']	1
O=C1CNC=[NH+]1	['C06195']	1
Cc1ccc([NH3+])cc1[NH3+]	['C14401']	2
[NH3+]CCCCNCCCC[NH3+]	['C06366']	2
C[C@H]([NH3+])C[C@@H]([NH3+])C(=O)[O-]	['C03943']	1
[NH3+][C@H](C(=O)O)c1ccc(O)cc1	['C12323']	1
C[C@H]([NH3+])C[C@H]([NH3+])CC(=O)[O-]	['C01186']	1
CN1CCC[C@H]1c1ccc(O)[nH+]c1	['C01056']	1
CN1CCC[C@@H]1c1ccc(O)[nH+]c1	['C03043']	1
[NH3+]C[C@H]([NH3+])C(=O)[O-]	['C03401']	1
NCC[C@H]([NH3+])C(=O)O	['C03283']	1
[NH3+]CCc1ccc(O)c(O)c1	['C03758']	1
[NH3+]c1cc(O)cc(C(=O)O)c1	['C12107']	1
[NH3+]CC[C@H]([NH3+])C(=O)O	['C03283']	2
Cn1c[nH+]c([N+](=O)[O-])c1	['C16621']	1
Cc1ccc(N)cc1[NH3+]	['C14401']	1
C[C@H]([NH3+])C[C@@H]([NH3+])C(=O)O	['C03943']	2
[NH3+]CCC[C@H]([NH3+])C(=O)[O-]	['C00077']	1
[NH3+]CCC[C@@H]([NH3+])C(=O)[O-]	['C00515']	1
[NH3+]CC[C@H]([NH3+])C(=O)[O-]	['C03283']	1
Cc1ccc([NH3+])cc1N	['C14401']	1
NCCC[C@H]([NH3+])C(=O)O	['C00077']	1
NCCC[C@@H]([NH3+])C(=O)O	['C00515']	1
NCCCNCCCC[NH3+]	['C00315']	1
NCCCNCCC[NH3+]	['C03375']	1
C[C@H](N)C[C@@H]([NH3+])C(=O)O	['C03943']	1
[NH3+]CCCC[C@H]([NH3+])C(=O)[O-]	['C00047']	1
[NH3+]CCCC[C@@H]([NH3+])C(=O)[O-]	['C00739']	1
NCCCNCCCCC[NH3+]	['C16565']	1
NCCCCNCCC[NH3+]	['C00315']	1
NCCCCNCCCC[NH3+]	['C06366']	1
[NH3+]CCC[C@H]([NH3+])CC(=O)[O-]	['C01142']	1
[NH3+]CCC[C@@H]([NH3+])C(=O)O	['C00515']	2
[NH3+]CCC[C@H]([NH3+])C(=O)O	['C00077']	2
NCCCC[C@H]([NH3+])C(=O)O	['C00047']	1
NCCCC[C@@H]([NH3+])C(=O)O	['C00739']	1
[NH3+]c1cc(C(=O)O)ccc1O	['C12115']	1
NCCCCCNCCC[NH3+]	['C16565']	1
C[C@H](N)CC[C@@H]([NH3+])C(=O)O	['C05161']	1
[NH3+]c1c(O)cccc1C(=O)O	['C00632']	1
CC(=O)C[C@@H]1CCC[NH+]1C	['C11359']	1
CC(=O)C[C@H]1CCC[NH+]1C	['C06179']	1
[NH3+]CCCC[C@@H]([NH3+])C(=O)O	['C00739']	2
[NH3+]CCCC[C@H]([NH3+])C(=O)O	['C00047']	2
[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)O	['C00082']	1
CC(=O)C[C@@H]([NH3+])C(=O)O	['C03341']	1
C[NH+]1CCC[C@H]1c1ccc(=O)[nH]c1	['C01056']	1
C[NH+]1CCC[C@@H]1c1ccc(=O)[nH]c1	['C03043']	1
C[C@H]([NH3+])CC[C@@H]([NH3+])C(=O)O	['C05161']	2
NCCC[C@H]([NH3+])CC(=O)O	['C01142']	1
N[C@@H](CC[NH3+])C(=O)O	['C03283']	1
C[NH+](C)Cc1c[nH]c2ccccc12	['C08304']	1
N[C@H](CCC[NH3+])C(=O)O	['C00515']	1
N[C@@H](CCC[NH3+])C(=O)O	['C00077']	1
C[C@H]([NH3+])CC[C@@H]([NH3+])C(=O)[O-]	['C05161']	1
CC(=O)C[NH3+]	['C01888']	1
C[C@H](N)C[C@H]([NH3+])CC(=O)O	['C01186']	1
Oc1cccc(O)[nH+]1	['C03056']	1
NCCCC[NH2+]CCC[NH3+]	['C00315']	2
Cc1cc(O)cc(C)c1[NH3+]	['C16570']	1
C[C@H]([NH3+])C[C@@H](N)C(=O)O	['C03943']	1
C[C@H]([NH3+])C[C@H](N)CC(=O)O	['C01186']	1
N[C@@H](C[NH3+])C(=O)O	['C03401']	1
N[C@@H](CCC[NH3+])CC(=O)O	['C01142']	1
CC(=O)[C@H]([NH3+])C(=O)O	['C03508']	1
C[C@H]([NH3+])C[C@H]([NH3+])CC(=O)O	['C01186']	2
N[C@@H](CCCC[NH3+])C(=O)O	['C00047']	1
N[C@H](CCCC[NH3+])C(=O)O	['C00739']	1
NCCCCC[NH2+]CCC[NH3+]	['C16565']	2
NCCC[NH2+]CCC[NH3+]	['C03375']	2
C[C@H]([NH3+])CC[C@@H](N)C(=O)O	['C05161']	1
NCCCC[NH2+]CCCN	['C00315']	1
CC[NH2+]c1nc(O)nc(O)n1	['C06558']	1
NCCCC[NH2+]CCCC[NH3+]	['C06366']	2
NCCCC[NH2+]CCCCN	['C06366']	1
NCCC[NH2+]CCCCC[NH3+]	['C16565']	2
NCCCCC[NH2+]CCCN	['C16565']	1
Oc1nc(O)nc([NH2+]C2CC2)n1	['C14149']	1
CC(C)[NH2+]c1nc(O)nc(O)n1	['C06553']	1
c1cncc(C2CC[NH2+]C(c3cccnc3)C2)c1	['C12454']	1
NCCC[NH2+]CCCC[NH3+]	['C00315']	2
[NH3+]C(CC(=O)O)c1ccc(O)cc1	['C04368']	1
CC(=O)CCC([NH3+])C(=O)O	['C05825']	1
[NH3+]CC(=O)CCC(=O)O	['C00430']	1
COc1cc(C[NH3+])ccc1O	['C16666']	1
[NH3+]CCC[C@H]([NH3+])CC(=O)O	['C01142']	2
C[NH+](C)CC[NH+](Cc1ccccc1)c1ccccc1	['C14410']	2
[NH3+]c1cccc2ccccc12	['C14790']	1
Oc1ccc(O)[nH+]c1	['C01059']	1
C[NH+]1CCC=C1c1ccc(O)nc1O	['C16151']	1
NCCC[NH2+]CCCN	['C03375']	1
[NH3+]CCCCC(=O)C(=O)O	['C03239']	1
O=N[NH+]1CCCC1c1ccc[nH+]c1	['C16452']	2
C[C@H]([NH3+])CC(=O)CC(=O)O	['C03656']	1
[NH3+]C[C@H](O)c1ccc(O)cc1	['C04227']	1
CC(=O)NCCCC[NH3+]	['C02714']	1
C[C@@H]1[NH2+]CCc2cc(O)c(O)cc21	['C09642']	1
C[NH+]1C2CCC1CC(O)C2	['C00729', 'C02066']	1
COc1cc(CC[NH3+])ccc1O	['C05587']	1
C[NH+]1CCC[C@H]1c1ccc(O)[nH+]c1	['C01056']	2
C[NH+]1CCC[C@@H]1c1ccc(O)[nH+]c1	['C03043']	2
CC([NH3+])C(N)CCCCCC(=O)O	['C01037']	1
[NH3+]c1nc(O)nc(O)n1	['C08734']	1
CC(=O)OC1CC2CCC(C1)[NH+]2C	['C12452', 'C12453']	1
CC(N)C([NH3+])CCCCCC(=O)O	['C01037']	1
[NH3+]CCCC(=O)C(=O)O	['C01110']	1
C[NH+]1CCCC[C@H]1C[C@H](O)c1ccccc1	['C10171']	1
C[NH2+]CCc1c[nH]c2ccccc12	['C06213']	1
CC([NH3+])C([NH3+])CCCCCC(=O)[O-]	['C01037']	1
CC(=O)CC1CCCC[NH2+]1	['C06182']	1
C[C@H]([NH3+])C(=O)c1ccccc1	['C08301']	1
Cc1ncc(COP(=O)(O)O)c([NH3+])n1	['C04556']	1
CN(CC(=O)O)C(N)=[NH2+]	['C00300']	1
C[NH2+]CCCC(=O)c1ccc(O)nc1	['C01297']	1
CCCN(/C=[NH+]/c1cccc(=O)[nH]1)CCC	['C15477']	1
[NH3+]c1ccc(-c2ccccc2)cc1	['C10998']	1
CC([NH3+])C([NH3+])CCCCCC(=O)O	['C01037']	2
C[NH2+]C[C@H](O)c1ccc(O)c(OC)c1	['C05588']	1
CC(=O)CC1CCCC[NH+]1C	['C06184']	1
CC[NH2+]c1nc(N)nc(O)n1	['C06557']	1
[NH3+]CCc1c[nH]c2ccccc12	['C00398']	1
C[NH+](CC(=O)O)C(N)=O	['C01043']	1
[NH3+][C@@H](CCCC[NH2+]O)C(=O)[O-]	['C01028']	1
OCC[NH2+]CCO	['C06772']	1
Nc1c[nH+]c[nH]1	['C05239']	1
c1c[nH+]cc(C2CCNC(c3cccnc3)C2)c1	['C12454']	1
c1cncc(C2CCNC(c3ccc[nH+]c3)C2)c1	['C12454']	1
CC[NH+](CC)CC(=O)Nc1c(C)cccc1C	['C07073']	1
[NH3+][C@@H](CCCCNO)C(=O)O	['C01028']	1
CC(=O)O[C@H]1CCN2C[C@@H]([NH3+])CCC12	['C06185']	1
CN1CCCC1CC(=O)CC1CCC[NH+]1C	['C06521']	1
O=C(O)[C@H]1[NH2+]CC[C@@H]1O	['C05147']	1
Nc1nc(O)nc([NH2+]C2CC2)n1	['C14148']	1
[NH3+]c1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1	['C07207']	1
c1cncc(C2CC[NH2+]C(c3ccc[nH+]c3)C2)c1	['C12454']	2
CC1=[NH+][C@H](C(=O)O)CCN1	['C06231']	1
C[C@H](O)[C@@H]([NH3+])C(=O)O	['C00820']	1
C[C@@H](O)[C@H]([NH3+])C(=O)O	['C00188']	1
C[C@H](O)[C@H]([NH3+])C(=O)O	['C05519']	1
