smiles_cation	kegg_id_cation	formal_charge_cation	smiles_anion	kegg_id_anion	formal_charge_anion	smiles_il	distance	commercial_il
C[N+]1=CCCC1	['C06178']	1	CC(=O)[O-]	['C00033']	-1	C[N+]1=CCCC1.CC(=O)[O-]	8.024423930592025	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CCC(=O)[O-]	['C00163']	-1	C[N+]1=CCCC1.CCC(=O)[O-]	8.15464647224662	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	C[C@@H]([O-])C(=O)[O-]	['C00256']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.C[C@@H]([O-])C(=O)[O-]	8.342205452854042	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	C[C@H]([O-])C(=O)[O-]	['C00186']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.C[C@H]([O-])C(=O)[O-]	8.342205452854042	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])C[O-]	['C00160', 'C03547']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C([O-])C[O-]	8.408585459826373	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])CF	['C06108']	-1	C[N+]1=CCCC1.O=C([O-])CF	8.557471649673396	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])CC[O-]	['C01013']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C([O-])CC[O-]	8.58137281122658	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=CC(=O)[O-]	['C00048']	-1	C[N+]1=CCCC1.O=CC(=O)[O-]	8.721875311344235	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	C=CC(=O)[O-]	['C00511']	-1	C[N+]1=CCCC1.C=CC(=O)[O-]	8.847798064061275	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC[C@H]([O-])C(=O)[O-]	['C05984']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CC[C@H]([O-])C(=O)[O-]	8.857170026106093	CC(=O)[O-].CCn1cc[n+](C)c1
