smiles	cation	anion	name	cas	url
CC(=O)[O-].CCn1cc[n+](C)c1	CCn1cc[n+](C)c1	CC(=O)[O-]	1-Ethyl-3-methylimidazolium acetate	143314-17-4	https://proionic.com/bestseller/EMIM-OAc.php
CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1	CCn1cc[n+](C)c1	CCCCCCCC(=O)[O-]	1-Ethyl-3-methylimidazolium octanoate	1154003-55-0	https://proionic.com/bestseller/EMIM-OOc.php
CCn1cc[n+](C)c1.COC(=O)[O-]	CCn1cc[n+](C)c1	COC(=O)[O-]	1-Ethyl-3-methylimidazolium methylcarbonate solution, approx. 30 %w in methanol	251102-25-7	https://proionic.com/bestseller/EMIM-MC-solution-in-MeOH.php
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F	CCn1cc[n+](C)c1	O=S(=O)([O-])C(F)(F)F	1-Ethyl-3-methylimidazolium trifluoromethanesulf​onate	145022-44-2	https://proionic.com/bestseller/EMIM-OTf.php
CCn1cc[n+](C)c1.CS(=O)(=O)[O-]	CCn1cc[n+](C)c1	CS(=O)(=O)[O-]	1-Ethyl-3-methylimidazolium methanesulf​onate	145022-45-3	https://proionic.com/bestseller/EMIM-MeSO3.php
CCn1cc[n+](C)c1.F[B-](F)(F)F	CCn1cc[n+](C)c1	F[B-](F)(F)F	1-Ethyl-3-methylimidazolium tetrafluoroborate (electronic grade)	143314-16-3	https://proionic.com/bestseller/EMIM-BF4-electronic-grade.php
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Ethyl-3-methylimidazolium bis(trifluoromethyls​ulfonyl)​imide (electronic grade)	174899-82-2	https://proionic.com/bestseller/EMIM-TFSI-electronic-grade.php
CCn1cc[n+](C)c1.O=S(=O)(F)[N-]S(=O)(=O)F	CCn1cc[n+](C)c1	O=S(=O)(F)[N-]S(=O)(=O)F	1-Ethyl-3-methylimidazolium bis(fluorosulfonyl)imide	235789-75-0	https://proionic.com/bestseller/EMIM-FSI.php
CCC(=O)[O-].CCn1cc[n+](C)c1	CCn1cc[n+](C)c1	CCC(=O)[O-]	1-Ethyl-3-methylimidazolium propionate	865627-64-1	https://proionic.com/bestseller/1-Ethyl-3-methylimidazolium-propionate.php
CC(=O)[O-].CCCCn1cc[n+](C)c1	CCCCn1cc[n+](C)c1	CC(=O)[O-]	1-Butyl-3-methylimidazolium acetate	284049-75-8	https://proionic.com/bestseller/BMIM-OAc.php
CCCCn1cc[n+](C)c1.COC(=O)[O-]	CCCCn1cc[n+](C)c1	COC(=O)[O-]	1-Butyl-3-methylimidazolium methylcarbonate, approx. 30 %w in methanol	916850-37-8	https://proionic.com/bestseller/BMIM-MC.php
CCCCn1cc[n+](C)c1.F[B-](F)(F)F	CCCCn1cc[n+](C)c1	F[B-](F)(F)F	1-Butyl-3-methylimidazolium tetrafluoroborate	174501-65-6	https://proionic.com/bestseller/BMIM-BF4.php
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCCn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide (electronic grade)	174899-83-3	https://proionic.com/bestseller/BMIM-TFSI.php
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCC[N+]1(C)CCCC1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide	223437-11-4	https://proionic.com/bestseller/BMPyrr-TFSI.php
CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F	CCCC[N+]1(C)CCCC1	O=S(=O)(F)[N-]S(=O)(=O)F	1-Butyl-1-methylpyrrolidinium bis(fluorosulfonyl)imide	1057745-51-3	https://proionic.com/bestseller/BMPyrr-FSI.php
C[N+](C)(C)CCO.NCCCC[C@H](N)C(=O)[O-]	C[N+](C)(C)CCO	NCCCC[C@H](N)C(=O)[O-]	Cholinium L lysinate	1361335-94-5	https://proionic.com/bestseller/Chol-Lys.php
CC(=O)[O-].C[N+](C)(C)CCO	C[N+](C)(C)CCO	CC(=O)[O-]	Cholinium acetate	14586-35-7	https://proionic.com/bestseller/Cholinium-acetate.php
CC(=O)[O-].CCn1cc[n+](C)c1	CCn1cc[n+](C)c1	CC(=O)[O-]	1-Ethyl-3-methylimidazolium acetate	143314-17-4	https://proionic.com/bestseller/EMIM-OAc.php
CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1	CCn1cc[n+](C)c1	CCCCCCCC(=O)[O-]	1-Ethyl-3-methylimidazolium octanoate	1154003-55-0	https://proionic.com/bestseller/EMIM-OOc.php
CCn1cc[n+](C)c1.COC(=O)[O-]	CCn1cc[n+](C)c1	COC(=O)[O-]	1-Ethyl-3-methylimidazolium methylcarbonate solution, approx. 30 %w in methanol	251102-25-7	https://proionic.com/bestseller/EMIM-MC-solution-in-MeOH.php
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F	CCn1cc[n+](C)c1	O=S(=O)([O-])C(F)(F)F	1-Ethyl-3-methylimidazolium trifluoromethanesulf​onate	145022-44-2	https://proionic.com/bestseller/EMIM-OTf.php
CCn1cc[n+](C)c1.CS(=O)(=O)[O-]	CCn1cc[n+](C)c1	CS(=O)(=O)[O-]	1-Ethyl-3-methylimidazolium methanesulf​onate	145022-45-3	https://proionic.com/bestseller/EMIM-MeSO3.php
CCn1cc[n+](C)c1.F[B-](F)(F)F	CCn1cc[n+](C)c1	F[B-](F)(F)F	1-Ethyl-3-methylimidazolium tetrafluoroborate (electronic grade)	143314-16-3	https://proionic.com/bestseller/EMIM-BF4-electronic-grade.php
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Ethyl-3-methylimidazolium bis(trifluoromethyls​ulfonyl)​imide (electronic grade)	174899-82-2	https://proionic.com/bestseller/EMIM-TFSI-electronic-grade.php
CCn1cc[n+](C)c1.O=S(=O)(F)[N-]S(=O)(=O)F	CCn1cc[n+](C)c1	O=S(=O)(F)[N-]S(=O)(=O)F	1-Ethyl-3-methylimidazolium bis(fluorosulfonyl)imide	235789-75-0	https://proionic.com/bestseller/EMIM-FSI.php
CCC(=O)[O-].CCn1cc[n+](C)c1	CCn1cc[n+](C)c1	CCC(=O)[O-]	1-Ethyl-3-methylimidazolium propionate	865627-64-1	https://proionic.com/bestseller/1-Ethyl-3-methylimidazolium-propionate.php
CC(=O)[O-].CCCCn1cc[n+](C)c1	CCCCn1cc[n+](C)c1	CC(=O)[O-]	1-Butyl-3-methylimidazolium acetate	284049-75-8	https://proionic.com/bestseller/BMIM-OAc.php
CCCCn1cc[n+](C)c1.COC(=O)[O-]	CCCCn1cc[n+](C)c1	COC(=O)[O-]	1-Butyl-3-methylimidazolium methylcarbonate, approx. 30 %w in methanol	916850-37-8	https://proionic.com/bestseller/BMIM-MC.php
CCCCn1cc[n+](C)c1.F[B-](F)(F)F	CCCCn1cc[n+](C)c1	F[B-](F)(F)F	1-Butyl-3-methylimidazolium tetrafluoroborate	174501-65-6	https://proionic.com/bestseller/BMIM-BF4.php
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCCn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide (electronic grade)	174899-83-3	https://proionic.com/bestseller/BMIM-TFSI.php
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCC[N+]1(C)CCCC1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide	223437-11-4	https://proionic.com/bestseller/BMPyrr-TFSI.php
