name	cas	url
1-Decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 98%	433337-23-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0100-hp
1-Ethyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide, 99%	841251-37-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0214-hp
1-Ethylpyridinium bromide, 99%	1906-79-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0171-hp
1-Hexyl-3-methylimidazolium triflate, 99%	460345-16-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0070-hp
1,2-Dimethyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide, 99%	169051-76-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0134-hp
1,2-Dimethyl-3-propylimidazolium bromide, 99%	107937-17-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0229-hp
1,2-Dimethyl-3-propylimidazolium iodide, >98%	218151-78-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0049-hp
1,2-Dimethyl-3-propylimidazolium iodide, >98%	218151-78-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/iolilyte-pve-2000
1,2-Dimethylimidazole, >98%	1739-84-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/1-alkyl-2-methylimidazoles/ki-0037-hp
1,2-Dimethylimidazolium bis(trifluoromethylsulfonyl)imide, 98%	353239-12-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0278-sg
1,2-Dimethylimidazolium chloride, 98%	34531-53-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0277-sg
1,3-Didecyl-2-methylimidazolium chloride, >98%	70862-65-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0046-hp
1,3-Diethylimidazolium  hexafluorophosphate, 98%	370085-15-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0281-hp
1,3-Diethylimidazolium bis(trifluoromethylsulfonyl)imide, 98%	174899-88-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0188-hp
1,3-Diethylimidazolium bromide, 98%	54304-66-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0279-hp
1,3-Diethylimidazolium diethyl phosphate, >98%	945406-32-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0245-hp
1,3-Diethylimidazolium ethyl sulfate, 98%	516474-04-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0244-hp
1,3-Diethylimidazolium tetrafluoroborate, 98%	847335-65-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0280-hp
1,3-Dimethylimidazolium bis(trifluoromethylsulfonyl)imide, 99%	174899-81-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0198-hp
1,3-Dimethylimidazolium dimethyl phosphate, >98%	654058-04-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0053-hp
1,3-Dimethylimidazolium iodide, >98%	4333-62-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/iolilyte-pve-5000
1,3-Dimethylimidazolium methyl sulfate, 98%	97345-90-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0243-hp
1,3-Dimethylimidazolium methylphosphonate,>98%	1048377-03-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0358-hp
1-(2-Hydroxyethyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99%	174899-86-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0194-hp
1-(2-Hydroxyethyl)-3-methylimidazolium chloride, 99%	61755-34-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0039-hp
1-(2-Hydroxyethyl)-3-methylimidazolium tetrafluoroborate, >98%	374564-83-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0038-hp
1-(2-Methoxyethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)imide, >98%	1235234-47-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0360-hp
1-(2-Methoxyethyl)-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide, >98%	757240-24-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0359-hp
1-(2-Methoxyethyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99%	178631-01-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0333-hp
1-(4-sulfobutyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, >98%	909390-59-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0354-hp
1-(4-sulfobutyl)-3-methylimidazolium triflate, >98%	657414-80-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0353-hp
1-(4-sulfobutyl)-3-methylimidazolium trifluoromethanesulfonate, 99%		https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/iolilyte-fce-9000
1-Allyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99%	655249-87-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0239-hp
1-Allyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide/1,3-Dimethylimidazolium bis(trifluoromethylsulfonyl)imide (10:90 mol%)		https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/iolilyte-lbe-67000-90
1-Allyl-3-methylimidazolium chloride, >98%	65039-10-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0022-hp
