smiles	kegg_id
C#CC(=O)[O-]	['C00804']
C#CCC(=O)[O-]	['C06144']
C#CCC(N)C(=O)[O-]	['C22138']
C#CCC[O-]	['C06146']
C=C(C(=O)O)C(C)C(=O)[O-]	['C02295']
C=C(C(=O)[O-])C(C)C(=O)O	['C02295']
C=C(C(=O)[O-])C(C)C(=O)[O-]	['C02295']
C=C(C(=O)[O-])C1CC=C(C)CCC=C(C)CC1	['C19678']
C=C(C)C(CCC(C)=O)CC(=O)[O-]	['C11405', 'C11419']
C=C(C)C(CCC(C)O)CC(=O)[O-]	['C11404', 'C11404', 'C11417', 'C11417']
C=C(C)C(CCC(C)[O-])CC(=O)[O-]	['C11404', 'C11417']
C=C(C)C(CO)CCC(C)C(=O)[O-]	['C11406', 'C11406', 'C11420', 'C11420']
C=C(C)C(C[O-])CCC(C)C(=O)[O-]	['C11406', 'C11420']
C=C(C)C1CC=C(C(=O)[O-])CC1	['C11924']
C=C(C)C1CC=C(C)C([O-])C1	['C00964', 'C11395', 'C11408', 'C11409']
C=C(C)C1CC=C(C[O-])CC1	['C02452']
C=C(C)C1CC=C2C(O)CC([O-])C(C)C2(C)C1	['C09627']
C=C(C)C1CC=C2C([O-])CC(O)C(C)C2(C)C1	['C09627']
C=C(C)C1CC=C2C([O-])CC([O-])C(C)C2(C)C1	['C09627']
C=C(C)C1CCC(C)(O)C([O-])C1	['C07276', 'C19082']
C=C(C)C1CCC(C)([O-])C(=O)C1	['C11937', 'C19083']
C=C(C)C1CCC(C)([O-])C(O)C1	['C07276', 'C19082']
C=C(C)C1CCC(C)([O-])C([O-])C1	['C07276', 'C19082']
C=C(C)C1CCC(C)([O-])OC(=O)C1	['C19079', 'C19084']
C=C(C)C1CCC(C)=CC1[O-]	['C01123']
C=C(C)C1CCC(C)C([O-])C1	['C11396', 'C11397', 'C11399', 'C11400', 'C11410', 'C11411', 'C11413', 'C11416']
C=C(C)C1CCC2(C1)C(C)=CC([O-])CC2C	['C19711']
C=C(C)CCOP(=O)([O-])O	['C20345']
C=C(C)CCOP(=O)([O-])[O-]	['C20345']
C=C(CC(=O)C(=O)O)C(=O)[O-]	['C06035']
C=C(CC(=O)C(=O)[O-])C(=O)O	['C06035']
C=C(CC(=O)C(=O)[O-])C(=O)[O-]	['C06035']
C=C(CC(=O)O)C(=O)[O-]	['C00490']
C=C(CC(=O)[O-])C(=O)O	['C00490']
C=C(CC(=O)[O-])C(=O)[O-]	['C00490']
C=C(CC(=O)[O-])C(C)C	['C11950']
C=C(CC(C)(C)c1ccc(O)cc1)c1ccc([O-])cc1	['C13625']
C=C(CC(C)(C)c1ccc([O-])cc1)c1ccc(O)cc1	['C13625']
C=C(CC(C)(C)c1ccc([O-])cc1)c1ccc([O-])cc1	['C13625']
C=C(CC=C(C)C(=O)[O-])C(C)C	['C11943', 'C11944']
C=C(CCC(=O)O)C(=O)[O-]	['C02930']
C=C(CCC(=O)[O-])C(=O)O	['C02930']
C=C(CCC(=O)[O-])C(=O)[O-]	['C02930']
C=C(C[O-])C1CC=C(C)CCC=C(C)CC1	['C19676']
C=C(Cl)CC(N)C(=O)[O-]	['C04075']
C=C(N)C(=O)[O-]	['C02218']
C=C(Oc1cccc(C(=O)O)c1)C(=O)[O-]	['C20772']
C=C(Oc1cccc(C(=O)[O-])c1)C(=O)O	['C20772']
C=C(Oc1cccc(C(=O)[O-])c1)C(=O)[O-]	['C20772']
C=C1C(=O)N2C1CC(SCCN)C2C(=O)[O-]	['C20822']
C=C1C([O-])CC2CC1C2(C)C	['C11941']
C=C1C([O-])CCC2(C)CCC3=C(C)CCC(CC12)C3(C)C	['C11895']
C=C1CC23CCC4C(C)(C[O-])CCCC4(C)C2CCC1C3	['C11872']
C=C1Oc2cc(OC)cc(C(=O)O)c2[N-]C1=O	['C11468']
C=C1Oc2cc(OC)cc(C(=O)[O-])c2NC1=O	['C11468']
C=C1Oc2cc(OC)cc(C(=O)[O-])c2[N-]C1=O	['C11468']
C=C1Oc2cccc(C(=O)O)c2[N-]C1=O	['C21306']
C=C1Oc2cccc(C(=O)[O-])c2NC1=O	['C21306']
C=C1Oc2cccc(C(=O)[O-])c2[N-]C1=O	['C21306']
C=CC(=C)CC([O-])C=C(C)C	['C20943']
C=CC(=O)C=CC=C(O)C(=O)[O-]	['C07087']
C=CC(=O)C=CC=C([O-])C(=O)O	['C07087']
C=CC(=O)C=CC=C([O-])C(=O)[O-]	['C07087']
C=CC(=O)[O-]	['C00511']
C=CC(C)(O)CCC=C(C)C[O-]	['C04433']
C=CC(C)([O-])CCC=C(C)C	['C11388', 'C11389']
C=CC(C)([O-])CCC=C(C)C=O	['C20221']
C=CC(C)([O-])CCC=C(C)CCC=C(C)C	['C09704', 'C19746']
C=CC(C)([O-])CCC=C(C)CCC=C(C)CCC=C(C)C	['C20681']
C=CC(C)([O-])CCC=C(C)CO	['C04433']
C=CC(C)([O-])CCC=C(C)C[O-]	['C04433']
C=CC(C)=CCC1C(C)([O-])CCC2C(C)(C)CCCC21C	['C20481']
C=CC(Cl)=C(O)C(=O)[O-]	['C11353']
C=CC(Cl)=C([O-])C(=O)O	['C11353']
C=CC(Cl)=C([O-])C(=O)[O-]	['C11353']
C=CC([NH-])=O	['C01659']
C=CC1(C)C=C2CCC3C(C)(C)C([O-])CCC3(C)C2CC1	['C21560']
C=CC1(C)CCC2C(=CCC3C(C)(C)C([O-])CCC23C)C1	['C21825']
C=CC1(C)CCC2C(=CCC3C(C)(C[O-])CCCC23C)C1	['C18221']
C=CC1(C)CCC2C([O-])(CCC3C(C)(C)CCCC32C)C1	['C21709']
C=CC1=CC([O-])C2C(CCC3C(C)(C)CCCC23C)C1C	['C20150']
C=CC1=CC=CC(O)C1[O-]	['C07084']
C=CC1=CC=CC([O-])C1O	['C07084']
C=CC1=CC=CC([O-])C1[O-]	['C07084']
C=CC1CN2CCC1CC2C([O-])c1ccnc2ccccc12	['C06528', 'C11379']
C=CC1CN2CCC1CC2c1[n-]c2ccccc2c1CCO	['C16727']
C=CC1CN2CCC1CC2c1[n-]c2ccccc2c1CC[O-]	['C16727']
C=CC1CN2CCC1CC2c1[nH]c2ccccc2c1CC[O-]	['C16727']
C=CC1CN2CCc3c([n-]c4ccccc34)C2CC1CC=O	['C16735']
C=CC1C[NH+]2CCC1CC2c1[n-]c2ccccc2c1CC[O-]	['C16727']
C=CC=C(CCC)C(=O)[O-]	['C16656']
C=CC=C(O)C(=O)[O-]	['C00596']
C=CC=C([O-])C(=O)O	['C00596']
C=CC=C([O-])C(=O)[O-]	['C00596']
C=CCC(CCC)C(=O)[O-]	['C16648']
C=CCc1ccc([O-])c(OC)c1	['C10453']
C=CCc1ccc([O-])cc1	['C16930']
C=Cc1ccc(O)c([O-])c1	['C06224']
C=Cc1ccc([O-])c(O)c1	['C06224']
C=Cc1ccc([O-])c([O-])c1	['C06224']
C=Cc1ccc([O-])cc1	['C05627']
C=Cc1cccc(O)c1[O-]	['C07085']
C=Cc1cccc([O-])c1O	['C07085']
C=Cc1cccc([O-])c1[O-]	['C07085']
CC(=CC(=O)O)C(=O)[O-]	['C01732', 'C02226']
CC(=CC(=O)[O-])C(=O)O	['C01732', 'C02226']
CC(=CC(=O)[O-])C(=O)[O-]	['C01732', 'C02226']
CC(=CC(=O)[O-])CCC=C(C)CCC1OC1(C)C	['C16504']
CC(=CCCC(C)=CCO)C[O-]	['C17621']
CC(=CCCC(C)=CC[O-])CO	['C17621']
CC(=CCCC(C)=CC[O-])C[O-]	['C17621']
CC(=CC[O-])CCC1C(C)=CCC2C(C)(C)CCCC12C	['C20158']
CC(=Cc1ccc(O)cc1)c1ccc([O-])cc1	['C13632']
CC(=Cc1ccc([O-])cc1)c1ccc(O)cc1	['C13632']
CC(=Cc1ccc([O-])cc1)c1ccc([O-])cc1	['C13632']
CC(=NNC(=O)c1ccncc1)C(=O)[O-]	['C16624']
CC(=N[N-]C(=O)c1cc[nH+]cc1)C(=O)[O-]	['C16624']
CC(=N[N-]C(=O)c1ccncc1)C(=O)O	['C16624']
CC(=N[N-]C(=O)c1ccncc1)C(=O)[O-]	['C16624']
CC(=O)C(=O)[O-]	['C00022']
CC(=O)C(C)(O)C(=O)[O-]	['C06010', 'C06010']
CC(=O)C(C)([O-])C(=O)[O-]	['C06010']
CC(=O)C(C)[O-]	['C00810', 'C01769']
CC(=O)C(N)C(=O)[O-]	['C03508']
CC(=O)C=CC(=O)[O-]	['C07091']
CC(=O)C=CC=C(O)C(=O)[O-]	['C06210']
CC(=O)C=CC=C([O-])C(=O)O	['C06210']
CC(=O)C=CC=C([O-])C(=O)[O-]	['C06210']
CC(=O)C=Cc1ccc([O-])cc1	['C12088']
CC(=O)CC(=O)[O-]	['C00164']
CC(=O)CC(N)C(=O)[O-]	['C03341']
CC(=O)CC(O)CC(=O)[O-]	['C16272', 'C16272']
CC(=O)CC(O)c1ccc([O-])cc1	['C22572', 'C22572']
CC(=O)CC([O-])CC(=O)[O-]	['C16272']
CC(=O)CC([O-])c1ccc([O-])cc1	['C22572']
CC(=O)CCC(N)C(=O)[O-]	['C05825']
CC(=O)C[O-]	['C05235']
CC(=O)NC(CCC=O)C(=O)[O-]	['C01250']
CC(=O)NC(Cc1ccccc1)C(=O)[O-]	['C03519', 'C05620']
CC(=O)NCCC(=O)[O-]	['C01073']
CC(=O)NCCCC(=O)[O-]	['C02946']
CC(=O)NCCCCC(=O)C(=O)[O-]	['C05548']
CC(=O)NCCCCC(=O)[O-]	['C03087']
CC(=O)NCCc1c[n-]cn1	['C05135']
CC(=O)N[N-]C(=O)c1ccncc1	['C07585']
CC(=O)Nc1ccc([O-])cc1	['C06804']
CC(=O)Nc1ccccc1C(=O)[O-]	['C06332']
CC(=O)OC1C(C)CN(C)C2Cc3c[n-]c4cccc(c34)C12	['C20436']
CC(=O)OCC(N)C(=O)[O-]	['C00979']
CC(=O)OCC=Cc1ccc([O-])cc1	['C20465']
CC(=O)OCCC(N)C(=O)[O-]	['C01077']
CC(=O)OP(=O)([O-])O	['C00227']
CC(=O)OP(=O)([O-])[O-]	['C00227']
CC(=O)Oc1ccc([O-])cc1	['C13636']
CC(=O)Oc1ccccc1C(=O)[O-]	['C01405']
CC(=O)[N-]C(CCC=O)C(=O)O	['C01250']
CC(=O)[N-]C(CCC=O)C(=O)[O-]	['C01250']
CC(=O)[N-]C(Cc1ccccc1)C(=O)O	['C03519', 'C05620']
CC(=O)[N-]C(Cc1ccccc1)C(=O)[O-]	['C03519', 'C05620']
CC(=O)[N-]CCC(=O)O	['C01073']
CC(=O)[N-]CCC(=O)[O-]	['C01073']
CC(=O)[N-]CCCC(=O)O	['C02946']
CC(=O)[N-]CCCC(=O)[O-]	['C02946']
CC(=O)[N-]CCCC=O	['C05936']
CC(=O)[N-]CCCCC(=O)C(=O)O	['C05548']
CC(=O)[N-]CCCCC(=O)C(=O)[O-]	['C05548']
CC(=O)[N-]CCCCC(=O)O	['C03087']
CC(=O)[N-]CCCCC(=O)[O-]	['C03087']
CC(=O)[N-]CCCCN	['C02714']
CC(=O)[N-]CCc1c[n-]c[nH+]1	['C05135']
