smiles	kegg_id
C#CCC([NH3+])C(=O)O	['C22138']
C#CC[NH2+]C(C)Cc1ccccc1	['C15476']
C1=CCC(c2ccc[nH+]c2)NC1	['C10126']
C1=CCC(c2ccc[nH+]c2)[NH2+]C1	['C10126']
C1=CCC(c2cccnc2)[NH2+]C1	['C10126']
C1CCN2CC3CC(C[NH+]4CCCCC34)C2C1	['C10783']
C1CC[NH+]2CC3CC(C[NH+]4CCCCC34)C2C1	['C10783']
C1CC[NH2+]CC1	['C01746']
C=C(Cl)CC([NH3+])C(=O)O	['C04075']
C=C([NH3+])C(=O)O	['C02218']
C=C1C(=O)N2C1CC(SCC[NH3+])C2C(=O)O	['C20822']
C=C1C(=O)[NH+]2C1CC(SCCN)C2C(=O)O	['C20822']
C=C1C(=O)[NH+]2C1CC(SCC[NH3+])C2C(=O)O	['C20822']
C=C1C(=O)[NH+]2C1CC(SCC[NH3+])C2C(=O)[O-]	['C20822']
C=CC1CN2CCC1CC2C(=O)c1cc[nH+]c2ccccc12	['C16726']
C=CC1CN2CCC1CC2C(O)c1cc[nH+]c2ccccc12	['C06528', 'C11379']
C=CC1C[NH+]2CCC1CC2C(=O)c1cc[nH+]c2ccccc12	['C16726']
C=CC1C[NH+]2CCC1CC2C(=O)c1ccnc2ccccc12	['C16726']
C=CC1C[NH+]2CCC1CC2C(O)c1cc[nH+]c2ccccc12	['C06528', 'C11379']
C=CC1C[NH+]2CCC1CC2C(O)c1ccnc2ccccc12	['C06528', 'C11379']
C=CC1C[NH+]2CCC1CC2C([O-])c1cc[nH+]c2ccccc12	['C06528', 'C11379']
C=CC1C[NH+]2CCC1CC2c1[nH]c2ccccc2c1CCO	['C16727']
C=CC1C[NH+]2CCc3c([nH]c4ccccc34)C2CC1CC=O	['C16735']
C=CCS[S+](O)CC=C	['C07600']
C=Cc1c[nH+]cc2c1CCOC2=O	['C06525']
CC(=NNC(=O)c1cc[nH+]cc1)C(=O)O	['C16624']
CC(=O)C([NH3+])C(=O)O	['C03508']
CC(=O)CC([NH3+])C(=O)O	['C03341']
CC(=O)CC1CCCC[NH+]1C	['C06184']
CC(=O)CC1CCCC[NH2+]1	['C06182']
CC(=O)CC1CCC[NH+]1C	['C06179', 'C11359']
CC(=O)CCC([NH3+])C(=O)O	['C05825']
CC(=O)C[NH3+]	['C01888']
CC(=O)NCCCC[NH3+]	['C02714']
CC(=O)NCCc1c[nH]c[nH+]1	['C05135']
CC(=O)NNC(=O)c1cc[nH+]cc1	['C07585']
CC(=O)Nc1cc([NH3+])c(C)c([N+](=O)[O-])c1	['C16420']
CC(=O)OC(CC(=O)O)C[N+](C)(C)C	['C02571']
CC(=O)OC1C(C)C[NH+](C)C2Cc3c[nH]c4cccc(c34)C12	['C20436']
CC(=O)OC1CC2CCC(C1)[NH+]2C	['C12452', 'C12453']
